"timestamp","x","y","z"
"161433918","-3.0529513","2.9608576","8.840188"
"171321677","-3.0529513","2.9608576","8.840188"
"181209435","-3.0529513","2.9608576","8.840188"
"191097193","-3.0529513","2.9608576","8.840188"
"200984951","-3.0529513","2.9608576","8.840188"
"210872710","-3.0529513","2.9608576","8.840188"
"220760468","-3.0529513","2.9608576","8.840188"
"230648226","-3.0529513","2.9608576","8.840188"
"240535984","-3.0529513","2.9608576","8.840188"
"250423743","-3.0529513","2.9608576","8.840188"
"260311501","-3.0529513","2.9608576","8.840188"
"270199259","-3.0530288","2.948198","8.844391"
"280087018","-3.0510187","2.934232","8.849728"
"289974526","-3.0563164","2.911676","8.855348"
"299862034","-3.0690603","2.886482","8.859187"
"309749542","-3.0765686","2.8676846","8.862687"
"319637051","-3.0789886","2.846185","8.868774"
"329524809","-3.0930042","2.8083282","8.875963"
"339412567","-3.1173327","2.788716","8.873636"
"349300325","-3.154643","2.7724936","8.865529"
"359188084","-3.1675255","2.7309952","8.873814"
"369068092","-3.1343255","2.6728308","8.903263"
"378948100","-3.1102648","2.5447748","8.949105"
"388828108","-3.1341007","2.3478417","8.994508"
"398708117","-3.1971416","2.1056871","9.032191"
"408595875","-3.2812126","1.8231453","9.063437"
"418483633","-3.3838189","1.4918838","9.086263"
"428371392","-3.4477596","1.2926389","9.092752"
"438259150","-3.5272667","1.0518","9.093306"
"448146908","-3.62507","0.7676819","9.0832615"
"458034666","-3.743786","0.43945158","9.056878"
"467922425","-3.8862226","0.068956904","9.007144"
"477810183","-4.056579","-0.33979702","8.925515"
"487697941","-4.258025","-0.7851643","8.802775"
"497585699","-4.488599","-1.2603487","8.631345"
"507473458","-4.7446957","-1.7480478","8.406444"
"517361216","-5.0161285","-2.2301667","8.130247"
"527248974","-5.2977915","-2.6844864","7.8078837"
"537136732","-5.58865","-3.0883079","7.447512"
"547024491","-5.885281","-3.4403923","7.0543094"
"556912249","-6.1903305","-3.7432175","6.626028"
"566799757","-6.4989185","-4.003682","6.162037"
"576687266","-6.807612","-4.2115927","5.670539"
"586574774","-7.1164985","-4.3553743","5.1596794"
"596462282","-7.4137564","-4.4433737","4.639908"
"606350040","-7.6982236","-4.4825034","4.1086063"
"616237799","-7.975591","-4.4649997","3.5622795"
